"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","AVWAGE","TOT","USD","A","2010",48111.5464309697,
"AUS","AVWAGE","TOT","USD","A","2011",49621.8404407184,
"AUS","AVWAGE","TOT","USD","A","2012",49900.6480697867,
"AUS","AVWAGE","TOT","USD","A","2013",49648.7720561079,
"AUS","AVWAGE","TOT","USD","A","2014",49988.5582048906,
"AUS","AVWAGE","TOT","USD","A","2015",49562.7961917006,
"AUS","AVWAGE","TOT","USD","A","2016",49603.2666562394,
"AUT","AVWAGE","TOT","USD","A","2010",49315.9163089574,
"AUT","AVWAGE","TOT","USD","A","2011",48809.4621652132,
"AUT","AVWAGE","TOT","USD","A","2012",49046.7076455864,
"AUT","AVWAGE","TOT","USD","A","2013",49119.5245501376,
"AUT","AVWAGE","TOT","USD","A","2014",49298.5666866514,
"AUT","AVWAGE","TOT","USD","A","2015",49694.5120670289,
"AUT","AVWAGE","TOT","USD","A","2016",50330.4552242943,
"BEL","AVWAGE","TOT","USD","A","2010",48940.5782900736,
"BEL","AVWAGE","TOT","USD","A","2011",49382.3864044152,
"BEL","AVWAGE","TOT","USD","A","2012",49714.5513424921,
"BEL","AVWAGE","TOT","USD","A","2013",50362.6586290707,
"BEL","AVWAGE","TOT","USD","A","2014",50583.0421345091,
"BEL","AVWAGE","TOT","USD","A","2015",50259.1820690747,
"BEL","AVWAGE","TOT","USD","A","2016",50041.0771459814,
"CAN","AVWAGE","TOT","USD","A","2010",44335.6986478899,
"CAN","AVWAGE","TOT","USD","A","2011",45015.6349522645,
"CAN","AVWAGE","TOT","USD","A","2012",46059.3228474804,
"CAN","AVWAGE","TOT","USD","A","2013",46937.3167948156,
"CAN","AVWAGE","TOT","USD","A","2014",47453.004608298,
"CAN","AVWAGE","TOT","USD","A","2015",47673.3254254925,
"CAN","AVWAGE","TOT","USD","A","2016",47370.1955214848,
"CZE","AVWAGE","TOT","USD","A","2010",22388.227589263,
"CZE","AVWAGE","TOT","USD","A","2011",22540.9787691982,
"CZE","AVWAGE","TOT","USD","A","2012",22528.4127932473,
"CZE","AVWAGE","TOT","USD","A","2013",22290.4946988665,
"CZE","AVWAGE","TOT","USD","A","2014",22757.3383887199,
"CZE","AVWAGE","TOT","USD","A","2015",23380.7429536061,
"CZE","AVWAGE","TOT","USD","A","2016",24330.753582818,
"DNK","AVWAGE","TOT","USD","A","2010",49423.6874985322,
"DNK","AVWAGE","TOT","USD","A","2011",49168.0357552126,
"DNK","AVWAGE","TOT","USD","A","2012",49094.2461278247,
"DNK","AVWAGE","TOT","USD","A","2013",49423.8023635253,
"DNK","AVWAGE","TOT","USD","A","2014",50368.6564234037,
"DNK","AVWAGE","TOT","USD","A","2015",51125.5502110602,
"DNK","AVWAGE","TOT","USD","A","2016",51826.0530970321,
"FIN","AVWAGE","TOT","USD","A","2010",42725.4594772306,
"FIN","AVWAGE","TOT","USD","A","2011",42872.4433299362,
